species;section;subgenus
Plantago afra;Psyllium;Psyllium
Plantago albicans;Albicans;Albicans
Plantago algarbiensis;Maritima;Coronopus
Plantago alpina;Maritima;Coronopus
Plantago amplexicaulis;Bauphula;Albicans
Plantago arenaria;Psyllium;Psyllium
Plantago argentea;Lanceifolia;Albicans
Plantago asperrima;Psyllium;Psyllium
Plantago atrata;Montana;Albicans
Plantago bellardii;Hymenopsyllium;Albicans
Plantago cornuti;Plantago;Plantago
Plantago coronopus;Coronopus;Coronopus
Plantago crassifolia;Coronopus;Coronopus
Plantago lagopus;Lanceifolia;Albicans
Plantago lanceolata;Lanceifolia;Albicans
Plantago loeflingii;Lanceifolia;Albicans
Plantago macrorhiza;Coronopus;Coronopus
Plantago major;Plantago;Plantago
Plantago maritima;Maritima;Coronopus
Plantago media;Lamprosantha;Plantago
Plantago minuta;Albicans;Albicans
Plantago monosperma;Montana;Albicans
Plantago nivalis;Montana;Albicans
Plantago notata;Montana;Albicans
Plantago ovata;Albicans;Albicans
Plantago psyllium;Psyllium;Psyllium
Plantago sempervirens;Psyllium;Psyllium
Plantago serpentina;Maritima;Coronopus
Plantago serraria;Coronopus;Coronopus
Plantago subulata;Maritima;Coronopus
